+--------+------------------------------------------------------------------------------------------------------+---------------------+---------------------+
| codigo | localidade                                                                                           | created_at          | updated_at          |
|    186 | 9. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    116 | 9. Secretaria Civel                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     64 | 9. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    255 | 9. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    117 | 9. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     65 | 9. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    253 | 9. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     66 | Administração do Fórum                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    277 | Alfa Engenharia de Informática                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    132 | Almoxarifado TJ                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    245 | Ar                                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    242 | Arquivo                                                                                              | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    206 | Assessoria de Comunicação                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    107 | Assessoria de Informática da CGJ                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    112 | Assistência Técnica Externa                                                                          | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    141 | Associação Brasileira de Mulheres em Carreira Jurídica                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    241 | Associação dos Magistrados do Maranhão                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    160 | Auditoria da Justiça Militar                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     79 | Auditório                                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     67 | Avaliação                                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    246 | Barra do Corda                                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     68 | Biblioteca                                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    135 | Casa Civil                                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    290 | CEJUSC Saúde                                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    138 | Central de DPVAT - 1. Juizado Cível                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    273 | Central de Inq                                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     89 | Central de Inquéritos                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    111 | Central de Mandados                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    274 | Centro de apoio às vítimas de crimes violentos                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    288 | Centro de Conciliação e Mediação de Família                                                          | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    154 | Centro de Processamento de Dados Antigo                                                              | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    229 | Centro de Processamento de Dados Novo                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    151 | Comarca de Coelho Neto                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    279 | Comissão Sentenciante                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    234 | Conselho de Supervisão dos Juizados Especiais                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     70 | Contadoria Judicial                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    209 | COOMAMP                                                                                              | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    150 | Coordenação de Análise e Desenvolvimento                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    131 | Coordenação de Manutenção de Equipamentos                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    118 | Coordenação de Material e Patrimônio                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    155 | Coordenação do Mutirão Carcerário do Maranhão ? CNJ                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    137 | Coordenadoria de Orient, Fisc, Cor, Dis e Aval das Serventias                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    126 | Copa                                                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    124 | Corredor Superior                                                                                    | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    123 | Corredor Térreo                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    106 | Corregedoria Justiça                                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     71 | Defensoria Pública                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    148 | Depositário Público                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    130 | Depósito Público                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    166 | Devolvido para garantia                                                                              | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    136 | Diretoria Administrativa do TJ                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    110 | Diretoria CGJ                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    280 | Diretoria de Informatica do TJ                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     72 | Diretoria Fórum                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     73 | Distribuição                                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    128 | Distribuição Drive-in                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     83 | Divisão de Transporte                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
